"Name";"ERP_ID";"Website";"Office Phone";"Alternate Phone";"Fax";"Billing Street";"Billing City";"Billing State";"Billing Postal Code";"Billing Country";"Shipping Street";"Shipping City";"Shipping State";"Shipping Postal Code";"Shipping Country";"Description";"Type";"Industry";"Annual Revenue";"Employees";"SIC Code";"Ticker Symbol";"Parent Account ID";"Ownership";"Campaign ID";"Rating";"Assigned User Name";"Assigned User ID";"Team ID";"Teams";"Team Set ID";"Date Created";"Date Modified";"Modified By Name";"Modified By ID";"Created By";"Created By ID";"Deleted";"Company Logo Link";"Account Short Code";"SFID";"Company Facebook";"FY End";"Year Founded";"Industry";"Industry Tags";"Company Location";"NAICS Code";"Company Size";"latitude";"longitude";"Facebook Account";"Twitter Account";"Google Plus ID";"Service Level";"DUNS";"Business Center ID";"Date of Next Renewal";"Tags";"Selected Team Set ID";"Selected Teams";"Customer Journey Template";"Email Address";"Invalid Email";"Email Opt Out";"Non-primary emails"
"Samwinter Informationstechnik GbR";"ERP000000000000001";"http://www.samwinterinformationstechnikgbr.de";"+49 94 694 10 62 24";"+49 92 343 93 67 68";"+49 40 737 85 23 69";"Hahnenstrasse 708";"Köln";"Nordrhein-Westfalen";"50667";"Deutschland";"Hahnenstrasse 708";"Köln";"Nordrhein-Westfalen";"50667";"Deutschland";"Dieser Kunde kaufte einige Lizenzen unseres zuletzt veröffentlichten Produktes.";"Customer";"Construction";"< 50.000.000€";""101-1";"000"";"14161";"ECE";"";"Bronnbaum Technologies";"";"4";"Sarah Smith";"seed_sarah_id";"1";"West";"West";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"50.93575";"6.9427344000001";"";"samwinter";"";"T1";"906748975";"990751e6-8831-11e9-8e6f-069335ab1e28";"";"";"";"";"";"support@samwinterinformationstechnikgbr.de";"0";"0";""
"Aschbach  Marketingagentur ";"ERP000000000000002";"http://www.aschbachmarketingagentur.de";"+49 31 404 65 22 32";"+49 62 188 68 83 41";"+49 88 449 92 32 75";"Holzmarktstrasse 674";"Berlin";"Berlin";"10243";"Deutschland";"Holzmarktstrasse 674";"Berlin";"Berlin";"10243";"Deutschland";"Dieser Kunde kaufte einige Lizenzen unseres zuletzt veröffentlichten Produktes.";"Customer";"Entertainment";"< 50.000.000€";""101-1";"000"";"82820";"FWB";"";"Almberger Systems";"";"10";"Will Westin";"seed_will_id";"1";"Global";"1";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"52.513563";"13.4241397";"";"aschbach";"";"T4";"78063651";"990751e6-8831-11e9-8e6f-069335ab1e28";"";"";"";"";"";"sales@aschbachmarketingagentur.de";"0";"0";""
"Senfheimer GmbH";"ERP000000000000003";"http://www.senfheimergmbh.de";"+49 28 971 55 80 79";"+49 33 510 52 88 20";"+49 37 602 98 58 60";"Stephanstrasse 485";"Frankfurt";"Hessen";"60313";"Deutschland";"Stephanstrasse 485";"Frankfurt";"Hessen";"60313";"Deutschland";"Dieser potentielle Kunde wurde uns von der ABC Bank empfohlen (Sandra Hachinger).";"Customer";"";"> 10.000.000.000€";"">10";"000"";"76451";"ABA";"";"Trautheim Bank";"";"2";"Max Jensen";"seed_max_id";"1";"Global";"1";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"50.1165202";"8.683212";"";"senfheimer";"";"T2";"829741383";"4a40f8aa-8831-11e9-9e1a-069335ab1e28";"";"";"";"";"";"support@senfheimergmbh.de";"0";"0";""
"TFO Versicherungen";"ERP000000000000004";"http://www.tfoversicherungen.de";"+49 82 594 60 64 48";"+49 45 936 53 86 10";"+49 59 898 11 37 95";"Friedrichstrasse 384";"Berlin";"Berlin";"10969";"Deutschland";"Friedrichstrasse 384";"Berlin";"Berlin";"10969";"Deutschland";"Dieser potentielle Kunde wurde uns von der ABC Bank empfohlen (Sandra Hachinger).";"Customer";"Hospitality";"> 5.000.000€";"51-100";"71650";"EWB";"";"Fielsmeier AG";"";"8";"Will Westin";"seed_will_id";"1";"Global";"1";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"52.5009259";"13.3914462";"";"tfo";"";"T4";"976615553";"4a40f8aa-8831-11e9-9e1a-069335ab1e28";"";"";"";"";"";"sales@tfoversicherungen.de";"0";"0";""
"Mannhausen Immobilien GmbH";"ERP000000000000005";"http://www.mannhausenimmobiliengmbh.de";"+49 66 655 47 60 53";"+49 82 258 32 45 24";"+49 45 827 99 40 85";"Holzmarktstrasse 587";"Berlin";"Berlin";"10243";"Deutschland";"Holzmarktstrasse 587";"Berlin";"Berlin";"10243";"Deutschland";"Wir trafen diesen potentiellen Kunden letzte Woche auf einer Messe. Es besteht Interesse an unseren Produkten.";"Customer";"Entertainment";"> 1.000.000.000€";""~10";"000"";"18171";"EAE";"";"Almberger Systems";"";"4";"Sally Bronsen";"seed_sally_id";"1";"Global";"1";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"52.513563";"13.4241397";"";"mannhausen";"";"T3";"418762388";"787a3470-8831-11e9-9501-069335ab1e28";"";"";"";"";"";"contact@mannhausenimmobiliengmbh.de";"0";"0";""
"KGFD Transportbetriebe";"ERP000000000000006";"http://www.kgfdtransportbetriebe.de";"+49 25 274 45 59 90";"+49 34 880 25 93 15";"+49 56 702 63 15 43";"Leopoldstrasse 637";"Munich";"Bayern";"80804";"Deutschland";"Leopoldstrasse 637";"Munich";"Bayern";"80804";"Deutschland";"Dieser potentielle Kunde wurde uns von der ABC Bank empfohlen (Sandra Hachinger).";"Customer";"Healthcare";"< 1.000.000€";"1-10";"33781";"FWB";"";"Sacher Holding";"";"7";"Jim Brennan";"seed_jim_id";"1";"West";"West";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"48.1684183";"11.5861359";"";"kgfd";"";"T3";"398098058";"787a3470-8831-11e9-9501-069335ab1e28";"";"";"";"";"";"sales@kgfdtransportbetriebe.de";"0";"0";""
"Sinndorf GbR ";"ERP000000000000007";"http://www.sinndorfgbr.de";"+49 92 351 34 88 12";"+49 72 710 90 34 51";"+49 16 358 78 88 67";"Domstrasse 579";"Hamburg";"Hamburg";"20095";"Deutschland";"Domstrasse 579";"Hamburg";"Hamburg";"20095";"Deutschland";"Wir trafen diesen potentiellen Kunden letzte Woche auf einer Messe. Es besteht Interesse an unseren Produkten.";"Customer";"Entertainment";"> 50.000.000€";""~5";"000"";"35161";"ECE";"";"Ingelberg AG";"";"1";"Sally Bronsen";"seed_sally_id";"1";"Global";"1";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"53.5487489";"9.9953088";"";"sinndorf";"";"T4";"90204634";"990751e6-8831-11e9-8e6f-069335ab1e28";"";"";"";"";"";"support@sinndorfgbr.de";"0";"0";""
"Sellermayer Group";"ERP000000000000008";"http://www.sellermayergroup.de";"+49 87 576 32 81 70";"+49 10 450 58 98 22";"+49 62 966 36 34 71";"Pillnitzer Strasse 299";"Dresden";"Sachsen";"1326";"Deutschland";"Pillnitzer Strasse 299";"Dresden";"Sachsen";"1326";"Deutschland";"Dieser potentielle Kunde wurde uns von der ABC Bank empfohlen (Sandra Hachinger).";"Customer";"Not For Profit";"> 10.000.000.000€";"">10";"000"";"12470";"CEE";"";"Fielsmeier AG";"";"1";"Jim Brennan";"seed_jim_id";"1";"East";"East";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"51.0146638";"13.8622034";"";"sellermayer";"";"T2";"977389955";"787a3470-8831-11e9-9501-069335ab1e28";"";"";"";"";"";"sales@sellermayergroup.de";"0";"0";""
"Selectdor AG";"ERP000000000000009";"http://www.selectdorag.de";"+49 77 362 61 20 68";"+49 71 286 17 61 58";"+49 48 952 76 67 99";"Stephanstrasse 475";"Frankfurt";"Hessen";"60313";"Deutschland";"Stephanstrasse 475";"Frankfurt";"Hessen";"60313";"Deutschland";"Dieser Kunde kaufte einige Lizenzen unseres zuletzt veröffentlichten Produktes.";"Customer";"Insurance";"> 10.000.000.000€";"">10";"000"";"4661";"AAE";"";"Fielsmeier AG";"";"1";"Will Westin";"seed_will_id";"1";"Global";"1";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"50.1165202";"8.683212";"";"selectdor";"";"T4";"787944858";"4a40f8aa-8831-11e9-9e1a-069335ab1e28";"";"";"";"";"";"info@selectdorag.de";"0";"0";""
"Krenzdorf Sicherheitssysteme";"ERP000000000000010";"http://www.krenzdorfsicherheitssysteme.de";"+49 84 137 50 49 41";"+49 11 425 95 96 86";"+49 91 956 50 35 49";"Kaufingerstrasse 204";"Munich";"Bayern";"80331";"Deutschland";"Kaufingerstrasse 204";"Munich";"Bayern";"80331";"Deutschland";"Dieser potentielle Kunde wurde uns von der ABC Bank empfohlen (Sandra Hachinger).";"Customer";"Shipping";"> 50.000.000€";""~5";"000"";"8820";"ABA";"";"Ingelberg AG";"";"9";"Will Westin";"seed_will_id";"1";"Global";"1";"11.03.2020 20:30";"11.03.2020 20:30";"Jen Smith";"1";"Jen Smith";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"48.1376186";"11.5734235";"";"krenzdorf";"";"T1";"700345222";"990751e6-8831-11e9-8e6f-069335ab1e28";"";"";"";"";"";"support@krenzdorfsicherheitssysteme.de";"0";"0";""
